73;E6;[1, 0, 1, 1, 0, 0, 0, 1, 1]
92;3F;[1, 0, 0, 0, 1, 1, 0, 1, 1]
32;64;[1, 0, 1, 1, 1, 1, 0, 1, 1]
37;6E;[1, 1, 0, 1, 0, 0, 0, 1, 1]
DC;77;[1, 1, 1, 0, 0, 1, 1, 1, 1]
48;90;[1, 1, 0, 0, 1, 1, 1, 1, 1]
C6;FD;[1, 0, 1, 1, 1, 0, 0, 0, 1]
52;A4;[1, 1, 0, 0, 1, 1, 1, 1, 1]
CC;3B;[1, 1, 0, 1, 0, 0, 0, 1, 1]
A8;39;[1, 0, 1, 1, 0, 1, 0, 0, 1]
E0;33;[1, 1, 1, 1, 1, 0, 0, 1, 1]
13;26;[1, 0, 0, 0, 1, 1, 1, 0, 1]
AF;2F;[1, 0, 1, 1, 1, 0, 0, 0, 1]
93;97;[1, 1, 0, 1, 1, 0, 0, 0, 1]
E1;A1;[1, 0, 1, 1, 0, 0, 0, 1, 1]
13;26;[1, 1, 0, 0, 0, 1, 1, 0, 1]
4C;98;[1, 1, 0, 1, 0, 0, 0, 1, 1]
5D;BA;[1, 0, 0, 0, 1, 1, 1, 0, 1]
83;D1;[1, 1, 1, 0, 1, 0, 1, 1, 1]
C9;6B;[1, 1, 1, 1, 1, 1, 0, 0, 1]
65;CA;[1, 1, 1, 0, 0, 1, 1, 1, 1]
AB;D1;[1, 1, 0, 0, 0, 0, 1, 1, 1]
4D;9A;[1, 1, 1, 0, 1, 0, 1, 1, 1]
AB;7D;[1, 0, 0, 1, 0, 1, 0, 1, 1]
2F;5E;[1, 1, 0, 0, 0, 0, 1, 1, 1]
B8;BF;[1, 1, 1, 0, 0, 1, 1, 1, 1]
97;35;[1, 0, 0, 0, 1, 1, 0, 1, 1]
29;52;[1, 1, 1, 0, 0, 0, 0, 1, 1]
70;E0;[1, 0, 0, 0, 1, 1, 0, 1, 1]
