DF;88;5B;[1, 0, 0, 1, 0, 1, 1, 0, 1]
AF;96;E5;[1, 1, 0, 1, 1, 0, 0, 0, 1]
82;92;22;[1, 1, 0, 0, 0, 1, 0, 1, 1]
7B;0A;6F;[1, 0, 0, 1, 1, 1, 1, 1, 1]
4D;40;FC;[1, 0, 1, 1, 0, 0, 0, 1, 1]
98;B8;FC;[1, 0, 1, 0, 1, 1, 1, 1, 1]
31;56;99;[1, 1, 1, 0, 1, 0, 1, 1, 1]
CA;76;84;[1, 0, 1, 1, 1, 0, 1, 1, 1]
35;FF;7E;[1, 0, 1, 0, 1, 1, 1, 1, 1]
59;48;1C;[1, 1, 1, 0, 1, 0, 1, 1, 1]
94;E5;45;[1, 1, 1, 0, 1, 1, 1, 0, 1]
64;BB;DF;[1, 0, 1, 0, 0, 1, 1, 0, 1]
76;BF;E5;[1, 1, 1, 0, 0, 0, 0, 1, 1]
F5;52;B5;[1, 1, 0, 1, 0, 0, 0, 1, 1]
5A;6F;33;[1, 1, 1, 1, 1, 0, 1, 0, 1]
21;27;AB;[1, 0, 0, 0, 1, 1, 0, 1, 1]
B8;D6;0D;[1, 1, 0, 0, 0, 1, 1, 0, 1]
C5;75;FF;[1, 1, 0, 0, 0, 1, 0, 1, 1]
3D;51;F5;[1, 1, 0, 0, 0, 1, 0, 1, 1]
98;29;1E;[1, 1, 0, 0, 0, 0, 1, 1, 1]
54;CD;7C;[1, 1, 0, 0, 0, 0, 1, 1, 1]
F9;80;76;[1, 1, 0, 1, 1, 1, 1, 0, 1]
E3;89;0E;[1, 1, 0, 0, 0, 1, 1, 0, 1]
FE;32;0D;[1, 0, 1, 1, 1, 1, 0, 1, 1]
FC;E9;87;[1, 0, 1, 0, 1, 1, 1, 1, 1]
DF;F6;6A;[1, 1, 0, 1, 1, 0, 0, 0, 1]
74;7E;72;[1, 1, 1, 0, 0, 1, 1, 1, 1]
C1;78;13;[1, 1, 0, 1, 1, 0, 0, 0, 1]
0D;6E;9C;[1, 0, 0, 0, 1, 1, 1, 0, 1]
1B;6B;70;[1, 1, 1, 0, 1, 0, 1, 1, 1]
